iter	Passed	Remaining
687	2835	1285
688	2838	1281
689	2842	1277
690	2846	1272
691	2850	1268
692	2854	1264
693	2858	1260
694	2861	1255
695	2865	1251
696	2869	1247
697	2873	1243
698	2877	1239
699	2880	1234
700	2884	1230
701	2888	1226
702	2892	1222
703	2897	1218
704	2901	1213
705	2905	1209
706	2908	1205
707	2912	1201
708	2916	1197
709	2920	1192
710	2924	1188
711	2927	1184
712	2931	1180
713	2935	1175
714	2939	1171
715	2943	1167
716	2947	1163
717	2950	1158
718	2955	1155
719	2958	1150
720	2962	1146
721	2966	1142
722	2970	1138
723	2974	1134
724	2978	1129
725	2982	1125
726	2986	1121
727	2989	1116
728	2993	1112
729	2997	1108
730	3001	1104
731	3005	1100
732	3008	1095
733	3012	1091
734	3016	1087
735	3020	1083
736	3023	1079
737	3027	1074
738	3031	1070
739	3035	1066
740	3039	1062
741	3043	1058
742	3047	1053
743	3050	1049
744	3054	1045
745	3058	1041
746	3062	1037
747	3065	1032
748	3069	1028
749	3073	1024
750	3076	1020
751	3080	1015
752	3084	1011
753	3088	1007
754	3092	1003
755	3096	999
756	3100	995
757	3103	990
758	3107	986
759	3112	982
760	3116	978
761	3119	974
762	3123	970
763	3127	966
764	3131	961
765	3134	957
766	3139	953
767	3142	949
768	3146	945
769	3150	941
770	3154	936
771	3158	932
772	3162	928
773	3166	924
774	3170	920
775	3174	916
776	3178	912
777	3181	907
778	3185	903
779	3189	899
780	3193	895
781	3197	891
782	3200	887
783	3204	882
784	3209	878
785	3213	874
786	3216	870
787	3220	866
788	3224	862
789	3228	858
790	3231	853
791	3235	849
792	3239	845
793	3243	841
794	3247	837
795	3251	833
796	3255	829
797	3259	825
798	3263	820
799	3267	816
800	3270	812
801	3274	808
802	3278	804
803	3283	800
804	3287	796
805	3290	792
806	3294	787
807	3298	783
808	3301	779
809	3305	775
810	3309	771
811	3312	767
812	3316	762
813	3320	758
814	3324	754
815	3327	750
816	3331	746
817	3335	742
818	3339	738
819	3343	733
820	3347	729
821	3351	725
822	3355	721
823	3359	717
824	3363	713
825	3366	709
826	3370	705
827	3374	700
828	3378	696
829	3381	692
830	3385	688
831	3389	684
832	3393	680
833	3397	676
834	3401	672
835	3405	668
836	3409	663
837	3413	659
838	3416	655
839	3420	651
840	3424	647
841	3428	643
842	3432	639
843	3436	635
844	3440	631
845	3444	627
846	3448	622
847	3452	618
848	3456	614
849	3460	610
850	3464	606
851	3468	602
852	3472	598
853	3476	594
854	3479	590
855	3483	586
856	3487	581
857	3491	577
858	3495	573
859	3498	569
860	3502	565
861	3506	561
862	3509	557
863	3513	553
864	3517	548
865	3521	544
866	3525	540
867	3528	536
868	3532	532
869	3536	528
870	3539	524
871	3543	520
872	3547	516
873	3550	511
874	3554	507
875	3558	503
876	3561	499
877	3565	495
878	3569	491
879	3572	487
880	3576	483
881	3580	478
882	3583	474
883	3587	470
884	3592	466
885	3597	462
886	3601	458
887	3605	454
888	3609	450
889	3613	446
890	3616	442
891	3621	438
892	3625	434
893	3629	430
894	3633	426
895	3637	422
896	3641	418
897	3644	413
898	3648	409
899	3653	405
900	3657	401
901	3661	397
902	3665	393
903	3668	389
904	3672	385
905	3676	381
906	3680	377
907	3684	373
908	3687	369
909	3691	365
910	3695	361
911	3699	356
912	3702	352
913	3707	348
914	3711	344
915	3715	340
916	3720	336
917	3724	332
918	3728	328
919	3731	324
920	3736	320
921	3740	316
922	3743	312
923	3747	308
924	3750	304
925	3754	300
926	3758	295
927	3762	291
928	3765	287
929	3769	283
930	3773	279
931	3777	275
932	3780	271
933	3784	267
934	3788	263
935	3792	259
936	3795	255
937	3799	251
938	3803	247
939	3807	243
940	3811	238
941	3814	234
942	3819	230
943	3822	226
944	3826	222
945	3830	218
946	3835	214
947	3839	210
948	3843	206
949	3846	202
950	3850	198
951	3854	194
952	3858	190
953	3861	186
954	3866	182
955	3870	178
956	3873	174
957	3877	169
958	3881	165
959	3884	161
960	3888	157
961	3892	153
962	3895	149
963	3899	145
964	3903	141
965	3906	137
966	3910	133
967	3914	129
968	3918	125
969	3922	121
970	3925	117
971	3929	113
972	3933	109
973	3937	105
974	3940	101
975	3945	97
976	3949	92
977	3953	88
978	3957	84
979	3960	80
980	3965	76
981	3969	72
982	3972	68
983	3976	64
984	3980	60
985	3983	56
986	3987	52
987	3991	48
988	3995	44
989	4000	40
990	4003	36
991	4007	32
992	4011	28
993	4014	24
994	4018	20
995	4022	16
996	4025	12
997	4029	8
998	4033	4
999	4036	0
